MAL_ID,Genres_x,Japanese name
1,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",カウボーイビバップ
5,"Action, Drama, Mystery, Sci-Fi, Space",カウボーイビバップ 天国の扉
6,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",トライガン
7,"Action, Mystery, Police, Supernatural, Drama, Magic",Witch Hunter ROBIN (ウイッチハンターロビン)
8,"Adventure, Fantasy, Shounen, Supernatural",冒険王ビィト
15,"Action, Sports, Comedy, Shounen",アイシールド21
16,"Comedy, Drama, Josei, Romance, Slice of Life",ハチミツとクローバー
17,"Slice of Life, Comedy, Sports, Shounen",ハングリーハート Wild Striker
18,"Action, Cars, Sports, Drama, Seinen",頭文字〈イニシャル〉D FOURTH STAGE
19,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",モンスター
20,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",ナルト
21,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",ONE PIECE
22,"Action, Comedy, Sports, School, Shounen",テニスの王子様
23,"Action, Shounen, Sports",リングにかけろ１
24,"Comedy, Romance, School, Shounen",スクールランブル
25,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",砂ぼうず
26,"Action, Sci-Fi, Psychological, Drama",TEXHNOLYZE
27,"Action, Supernatural, Vampire",トリニティ・ブラッド
28,"Comedy, Shounen",焼きたて!! ジャぱん
29,"Action, Military, Sci-Fi, Historical, Drama, Seinen",ジパング
30,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",新世紀エヴァンゲリオン
31,"Drama, Mecha, Psychological, Sci-Fi",新世紀エヴァンゲリオン劇場版 シト新生
32,"Sci-Fi, Dementia, Psychological, Drama, Mecha",新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION
33,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",剣風伝奇ベルセルク
43,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",GHOST IN THE SHELL（攻殻機動隊）
44,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",るろうに剣心―明治剣客浪漫譚―追憶編
45,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",るろうに剣心 -明治剣客浪漫譚-
46,"Samurai, Historical, Drama, Shounen",るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌
47,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",AKIRA（アキラ）
48,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",.hack//SIGN
49,"Comedy, Magic, Romance, Seinen, Supernatural",ああっ女神さまっ
50,"Comedy, Supernatural, Magic, Romance, Seinen",ああっ女神さまっ
51,"Action, Drama, Romance, Shoujo, Supernatural",天使禁猟区
52,"Sci-Fi, Comedy, Sports, Drama, Shounen",機動天使エンジェリックレイヤー
53,"Harem, Slice of Life, Comedy, Drama, Romance",藍より青し
54,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",アップルシード
55,"Action, Adventure, Fantasy, Horror, Sci-Fi",アークザラッド
56,"Adventure, Fantasy, Sci-Fi, Shounen",アヴェンジャー
57,"Comedy, Drama, Music, Shounen, Slice of Life",ベック
58,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",BLUE GENDER
59,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",ちょびっツ
60,"Action, Demons, Historical, Romance, Shounen, Supernatural",クロノクルセイド
61,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",Ｄ・Ｎ・ＡＮＧＥＬ
62,"Harem, Drama, Magic, Romance",D.C.～ダ・カーポ～
63,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",ディアーズ
64,"Action, Comedy, Drama, Magic, Seinen",ローゼンメイデン
65,"Action, Comedy, Drama, Magic, Seinen",ローゼンメイデン トロイメント
66,"Slice of Life, Comedy, School",あずまんが大王 THE ANIMATION
67,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",バジリスク 甲賀忍法帖
68,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",ブラックキャット
69,"Action, Fantasy, Military, Sci-Fi",CLUSTER EDGE（クラスターエッジ）
71,"Action, Military, Sci-Fi, Comedy, Mecha",フルメタル・パニック！
72,"Action, Comedy, School",フルメタル・パニック? ふもっふ
73,"Action, Military, Mecha",フルメタル パニック！The Second Raid
74,"Comedy, School, Shoujo, Super Power",学園アリス
75,"Action, Drama, Mecha, Military, Sci-Fi",蒼穹のファフナーDead Aggressor
76,"Action, Comedy, Drama, Magic, Super Power",魔法少女リリカルなのは
77,"Action, Comedy, Drama, Magic, Super Power",魔法少女リリカルなのは エース
79,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",SHUFFLE! (シャッフル!)
80,"Action, Military, Sci-Fi, Space, Mecha",機動戦士ガンダム
81,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",機動戦士ガンダム 第08MS小隊
82,"Military, Sci-Fi, Space, Drama, Mecha",機動戦士ガンダム 0080 ポケットの中の戦争
83,"Military, Sci-Fi, Drama, Romance, Mecha",機動戦士ガンダム 第08MS小隊 ミラーズ・リポート
84,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",機動戦士ガンダム0083 STARDUST MEMORY
85,"Military, Sci-Fi, Space, Drama, Romance, Mecha",機動戦士Ζガンダム
86,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",機動戦士ガンダムZZ
87,"Military, Sci-Fi, Space, Drama, Mecha",機動戦士ガンダム 逆襲のシャア
88,"Drama, Mecha, Military, Sci-Fi, Space",機動戦士ガンダムＦ91
89,"Drama, Mecha, Military, Sci-Fi, Space",機動戦士Vガンダム
90,"Action, Military, Sci-Fi, Space, Drama, Mecha",新機動戦記ガンダムW
91,"Action, Drama, Mecha, Military, Sci-Fi, Space",新機動戦記ガンダムW エンドレス・ワルツ
92,"Sci-Fi, Adventure, Space, Drama, Mecha",機動新世紀ガンダムX
93,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",機動戦士ガンダムSEED
94,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",機動戦士ガンダムSEED DESTINY
95,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",∀ガンダム
96,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",機動武闘伝Gガンダム
97,"Action, Sci-Fi, Adventure",LAST EXILE（ラストエグザイル）
98,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",舞-HiME
99,"Comedy, Drama, Fantasy, Magic",舞-乙HiME
100,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",新白雪姫伝説プリーティア
101,"Slice of Life, Supernatural, Drama, Romance",AIR
102,"Comedy, Drama, Romance, Shoujo",愛してるぜ ベイベ★★
103,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",赤ずきんチャチャ
104,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",妖しのセレス
105,"Slice of Life, Comedy, Romance, Shounen",ボーイズ・ビー
106,"Drama, Romance, School, Shoujo",花より男子
107,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",王ドロボウ JING
108,"Adventure, Fantasy, Psychological, Comedy, Shounen",王ドロボウ JING in Seventh Heaven
109,"Adventure, Comedy, Mecha, Sci-Fi",爆裂天使
110,"Action, Comedy, Drama, Shounen",中華一番
111,"Sci-Fi, Adventure, Comedy, Magic",コレクター・ユイ
112,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",超変身コス∞プレイヤー
113,"Action, Mecha, Romance, Sci-Fi, Space",宇宙のステルヴィア
114,"Comedy, School, Shounen",魁!! クロマティ高校
115,"Adventure, Comedy, Fantasy",異次元の世界エルハザード
116,"Adventure, Comedy, Romance, Fantasy",神秘の世界エルハザード
117,"Adventure, Comedy, Romance, Fantasy",神秘の世界エルハザード
118,"Adventure, Comedy, Fantasy",神秘の世界 エルハザード 第2期
119,"Comedy, Drama, Romance, Slice of Life",φなる・あぷろーち
120,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",フルーツバスケット
121,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",鋼の錬金術師
122,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",満月をさがして
123,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",ふしぎ遊戯
124,"Adventure, Fantasy, Romance, Drama, Shoujo",ふしぎ遊戯 -永光伝
125,"Comedy, Romance, School",双恋
126,"Comedy, Drama, Romance",フタコイ オルタナティブ
127,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",ゲートキーパーズ
128,"Action, Drama, Mecha, Sci-Fi, Shounen",ゲートキーパーズ21
129,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",幻想魔伝 最遊記
130,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",最遊記RELOAD
131,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",最遊記RELOAD GUNLOCK
132,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",ゲットバッカーズ　奪還屋
133,"Comedy, Ecchi, Romance, School, Slice of Life",グリーングリーン
134,"Action, Psychological, Military, Drama, Sci-Fi",ガンスリンガー・ガール
135,"Comedy, Game, Shounen, Supernatural",ヒカルの碁
136,"Action, Adventure, Super Power, Fantasy, Shounen",HUNTER×HUNTER（ハンター×ハンター）
137,"Action, Adventure, Super Power, Shounen",HUNTER×HUNTER Original Video Animation
138,"Action, Adventure, Super Power, Fantasy, Shounen",ハンターｘハンター:Greed Island
139,"Action, Adventure, Super Power, Fantasy, Shounen",ハンター×ハンター　G・I　Final
141,"Mecha, Sci-Fi",ジンキ・エクステンド
142,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",神風怪盗ジャンヌ
143,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",神無月の巫女
144,"Drama, Romance, Slice of Life, Supernatural",カノン
145,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",彼氏彼女の事情
146,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",この醜くも美しい世界
147,"Drama, Romance, Slice of Life",君が望む永遠
148,"Drama, Romance, Slice of Life",北へ。 ～Diamond Dust Drops～
149,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",LOVELESS
150,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",ブラッドプラス
151,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",Re:キューティーハニー
152,"Action, Sci-Fi, Super Power",ソルティレイ
153,"Action, Adventure, Fantasy, Magic, Supernatural",十二国記
154,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",シャーマンキング
